5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1910,1817,1119,894,708,526,573,582,556,528,659,431,443,388,601,322,371,282,313,308,408,334,295,271,317,288,287,317,328,314,340,265,274,271,249,268,301,261,276,267,297,286,286,259,254
2408,924,1260,755,793,818,575,553,537,372,429,500,417,404,324,343,346,350,280,294,283,267,260,256,252,255,248,268,311,269,210,219,227,221,231,219,247,188,159,205,218,184,226,200,184
1804,2088,871,1025,491,506,551,620,478,454,304,493,379,298,293,281,322,251,221,313,269,243,199,251,213,237,208,250,229,264,215,164,217,210,164,200,174,221,222,144,183,191,207,151,158
3001,1116,1084,1124,553,502,559,332,431,342,473,459,264,288,404,235,316,248,272,301,213,234,199,158,159,196,187,232,213,196,176,183,207,206,198,181,206,145,186,195,205,162,145,152,179
3001,1449,947,667,567,406,604,427,377,365,347,233,240,260,344,182,237,317,288,275,190,198,251,239,245,237,197,180,196,178,173,198,158,179,192,222,189,158,137,150,194,162,129,166,150
2416,3001,834,3001,771,1364,495,452,347,376,282,373,230,291,307,276,216,232,311,254,237,181,194,148,176,220,188,201,174,156,171,180,182,162,213,149,195,207,195,167,92,152,148,159,145
2421,2349,2764,1066,677,488,466,712,442,404,509,366,203,306,280,322,254,260,198,259,240,197,205,230,269,179,209,167,205,223,221,176,216,224,276,206,139,193,183,230,155,153,158,176,182
3001,3001,3001,3001,800,1614,1015,1663,586,790,540,539,462,289,509,474,382,326,269,330,327,388,325,229,358,231,244,277,281,278,206,265,234,206,216,212,180,226,251,231,192,206,225,178,201
3001,3001,3001,2411,3001,3001,2748,3001,1771,1379,998,1307,865,1268,737,778,737,660,513,528,585,587,601,464,467,526,563,507,407,424,460,493,357,305,399,462,296,295,409,298,409,328,339,308,413
3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,3001,2632,3001,1324,2226,2611,2179,1599,1783,2637,1628,1816
